id,gm_time_s,extend_g_time_s
6934,0.0022,0.0019
6935,0.0034,0.0029
6936,0.0023,0.0019
6937,0.0048,0.0036
6938,0.0021,0.0018
6939,0.0023,0.0019
6940,0.0028,0.0024
6941,0.0033,0.0028
6942,0.0042,0.0037
6943,0.003,0.0028
6944,0.0045,0.0039
6945,0.0021,0.0019
6946,0.0021,0.0019
6947,0.0021,0.0025
6948,0.0028,0.0026
6949,0.0025,0.0022
6950,0.0029,0.0025
6951,0.0027,0.0024
6952,0.0025,0.0023
6953,0.0038,0.0028
6954,0.003,0.0026
6955,0.0043,0.004
6956,0.0043,0.0039
6957,0.0023,0.002
6958,0.0039,0.0034
6959,0.0035,0.003
6960,0.0042,0.0045
6961,0.0025,0.0022
6962,0.0035,0.003
6963,0.0026,0.0022
6964,0.0019,0.0016
6965,0.0051,0.0038
6966,0.0028,0.0024
6967,0.0039,0.0034
6968,0.0025,0.0021
6969,0.0021,0.0018
6970,0.0031,0.0027
6971,0.0041,0.0035
6972,0.0032,0.0027
6973,0.0028,0.0024
6974,0.0034,0.0036
6975,0.0024,0.002
6976,0.0013,0.001
6977,0.0042,0.0036
6978,0.0033,0.0028
6979,0.0048,0.0038
6980,0.0025,0.0022
6981,0.0036,0.0032
6982,0.0045,0.004
6983,0.0014,0.0012
6984,0.0031,0.0026
6985,0.0039,0.0034
6986,0.005,0.0049
6987,0.0023,0.0019
6988,0.0018,0.0016
6989,0.0022,0.0018
6990,0.0036,0.003
6991,0.0022,0.002
6992,0.0065,0.0049
6993,0.002,0.0017
6994,0.0041,0.0036
6995,0.003,0.0025
6996,0.0026,0.0022
6997,0.0043,0.0036
6998,0.0019,0.0016
6999,0.0023,0.0018
7000,0.0037,0.0035
7001,0.0022,0.0018
7002,0.003,0.0026
7003,0.0044,0.0039
7004,0.002,0.0017
7005,0.0015,0.0013
7006,0.005,0.0038
7007,0.0019,0.0016
7008,0.0034,0.0031
7009,0.0031,0.0027
7010,0.0047,0.0042
7011,0.0037,0.0033
7012,0.0037,0.0033
7013,0.0044,0.0044
7014,0.0037,0.0268
7015,0.0044,0.0038
7016,0.0043,0.0038
7017,0.0032,0.0028
7018,0.0044,0.0032
7019,0.0049,0.0043
7020,0.0019,0.0016
7021,0.0024,0.002
7022,0.0029,0.0026
7023,0.0027,0.0023
7024,0.0029,0.0025
7025,0.0017,0.0014
7026,0.0023,0.002
7027,0.0042,0.0041
7028,0.0036,0.0031
7029,0.004,0.0034
7030,0.0038,0.0032
7031,0.0042,0.0031
7032,0.0045,0.0038
7033,0.0021,0.0017
7034,0.0036,0.003
7035,0.0019,0.0016
7036,0.0025,0.0021
7037,0.0033,0.0028
7038,0.0024,0.0021
7039,0.0022,0.0024
7040,0.0023,0.0019
7041,0.0029,0.0025
7042,0.005,0.0044
7043,0.0014,0.0012
7044,0.0025,0.0021
7045,0.0027,0.0023
7046,0.0041,0.0029
7047,0.003,0.0026
7048,0.002,0.0017
7049,0.0039,0.0034
7050,0.004,0.0035
7051,0.0035,0.0032
7052,0.003,0.0025
7053,0.0041,0.0041
7054,0.0027,0.0022
7055,0.0029,0.0025
7056,0.0026,0.0022
7057,0.0039,0.0034
7058,0.0021,0.0018
7059,0.0019,0.0016
7060,0.0039,0.0027
7061,0.0019,0.0016
7062,0.0038,0.0033
7063,0.0037,0.0031
7064,0.0016,0.0014
7065,0.0032,0.0027
7066,0.0032,0.0028
7067,0.003,0.0029
7068,0.0029,0.0024
7069,0.0037,0.003
7070,0.0023,0.002
7071,0.0036,0.003
7072,0.0025,0.0021
7073,0.0036,0.0031
7074,0.0038,0.0026
7075,0.0033,0.0028
7076,0.0035,0.003
7077,0.0033,0.0028
7078,0.003,0.0026
7079,0.0046,0.0045
7080,0.003,0.0025
7081,0.0031,0.0027
7082,0.0027,0.0023
7083,0.0034,0.0029
7084,0.0028,0.0024
7085,0.0033,0.0028
7086,0.0054,0.0041
7087,0.0025,0.0021
7088,0.0037,0.0032
7089,0.003,0.0025
7090,0.0039,0.0033
7091,0.0029,0.0024
7092,0.0017,0.0014
7093,0.0026,0.0028
7094,0.0038,0.0033
