id,gm_time_s,extend_time_s,extend_g_time_s,ilp_time_s,syn_time_s
2683,0.0028,0.0022,0.0025,0.3185,0.0022
2684,0.003,0.0027,0.0035,0.3777,0.0021
2685,0.0029,0.0027,0.0025,0.3396,0.0021
2686,0.0032,0.0026,0.0028,0.6064,0.0023
2687,0.0044,0.0041,0.0038,1.3935,0.0029
2688,0.0026,0.0021,0.0023,0.3882,0.0019
2689,0.0033,0.0027,0.0029,0.5023,0.0032
2690,0.004,0.0027,0.0028,0.4156,0.0024
2691,0.0026,0.0025,0.0023,0.2988,0.002
2692,0.0026,0.0022,0.0023,0.2747,0.002
2693,0.0022,0.0017,0.0019,0.274,0.0016
2694,0.0046,0.0044,0.0041,2.2247,0.0032
2695,0.0037,0.0032,0.0032,1.645,0.0025
2696,0.0025,0.0021,0.0021,0.4135,0.0019
2697,0.0045,0.0041,0.0048,2.94,0.0032
2698,0.003,0.0032,0.0026,0.3542,0.0022
2699,0.0017,0.0013,0.0015,0.1053,0.0016
2700,0.004,0.0037,0.0036,2.4247,0.0029
2701,0.0034,0.0029,0.0029,1.003,0.0025
2702,0.0052,0.0056,0.0045,5.2988,0.0037
2703,0.0043,0.003,0.0031,0.7923,0.0025
2704,0.0032,0.0026,0.0028,0.4269,0.0025
2705,0.0046,0.0041,0.004,1.3106,0.0031
2706,0.0014,0.001,0.0013,0.0411,0.0012
2707,0.0027,0.0021,0.0023,0.4371,0.0021
2708,0.0021,0.0016,0.0018,0.1206,0.0017
2709,0.0029,0.0023,0.0026,0.3809,0.0029
2710,0.0024,0.0019,0.0029,0.1799,0.0018
2711,0.0039,0.0035,0.0034,2.5253,0.0028
2712,0.0039,0.0035,0.0034,1.4806,0.0027
2713,0.0026,0.002,0.0023,0.4403,0.0022
2714,0.0019,0.0015,0.0017,0.1036,0.0015
2715,0.0039,0.0041,0.0034,1.0913,0.0028
2716,0.0038,0.0033,0.0034,0.7384,0.0027
2717,0.004,0.0026,0.0028,0.8671,0.0023
2718,0.0038,0.0034,0.0033,0.7679,0.0027
2719,0.002,0.0015,0.0018,0.1616,0.0016
2720,0.002,0.0014,0.0016,0.1401,0.0016
2721,0.0049,0.0045,0.0044,2.2057,0.0035
2722,0.0026,0.0021,0.0022,0.2285,0.0019
2723,0.0022,0.0016,0.0019,0.1716,0.0018
2724,0.0025,0.002,0.0028,0.2247,0.0018
2725,0.0023,0.0017,0.002,0.1769,0.0018
2726,0.0045,0.004,0.0039,3.8342,0.0031
2727,0.0038,0.0034,0.0034,0.7604,0.0029
2728,0.0025,0.002,0.0022,0.2462,0.002
2729,0.0058,0.005,0.0046,1.9198,0.0041
2730,0.003,0.0024,0.0026,0.6005,0.0021
2731,0.0037,0.0025,0.0025,0.6205,0.0022
2732,0.0018,0.0013,0.0015,0.1013,0.0014
2733,0.0045,0.0048,0.004,2.6278,0.0032
2734,0.003,0.0024,0.0026,0.3822,0.0021
2735,0.0038,0.0033,0.0033,0.6778,0.0027
2736,0.0046,0.0041,0.0047,3.0976,0.0031
2737,0.0069,0.008,0.0062,5.1756,0.0043
2738,0.0035,0.0028,0.003,0.8602,0.0023
2739,0.0041,0.0035,0.0035,2.0387,0.0028
2740,0.0031,0.0024,0.0027,0.5263,0.0023
2741,0.0048,0.0046,0.0043,3.3477,0.0031
2742,0.0049,0.0034,0.0035,0.7458,0.0027
2743,0.0033,0.0027,0.0029,1.0527,0.0024
2744,0.0016,0.0011,0.0013,0.0833,0.0012
2745,0.0042,0.0045,0.0037,0.9809,0.003
2746,0.0032,0.0026,0.0027,0.7061,0.0022
2747,0.0024,0.0019,0.003,0.268,0.0017
2748,0.0036,0.0031,0.0031,0.8542,0.0032
2749,0.0021,0.0015,0.0017,0.1653,0.0015
2750,0.0048,0.0043,0.0042,6.0885,0.0033
2751,0.0041,0.0035,0.0035,1.5858,0.0028
2752,0.0036,0.0029,0.0031,0.5242,0.0024
2753,0.0022,0.0016,0.0019,0.1756,0.0017
2754,0.0034,0.0028,0.003,1.1202,0.0023
2755,0.0033,0.0019,0.0022,0.3128,0.0019
2756,0.0024,0.002,0.0023,0.2226,0.0027
2757,0.0036,0.0032,0.0032,1.4237,0.0026
2758,0.0034,0.0027,0.003,0.9173,0.0023
2759,0.004,0.0034,0.0035,0.7907,0.0028
2760,0.0035,0.003,0.004,0.844,0.0032
2761,0.0046,0.004,0.0039,1.9031,0.0031
2762,0.0034,0.0035,0.003,0.8685,0.0025
2763,0.0032,0.0026,0.0028,0.4691,0.0023
2764,0.0029,0.0026,0.0026,0.5619,0.0029
2765,0.0044,0.004,0.004,3.011,0.0031
2766,0.002,0.0015,0.0019,0.1185,0.0015
2767,0.0052,0.0042,0.004,0.9663,0.003
2768,0.0018,0.0013,0.0017,0.1038,0.0018
2769,0.0037,0.0032,0.0034,1.1454,0.0037
2770,0.002,0.0014,0.0017,0.11,0.0014
2771,0.0034,0.0029,0.003,0.5099,0.0024
2772,0.0041,0.0035,0.0036,0.7673,0.0027
2773,0.0028,0.0023,0.0035,0.4755,0.0029
2774,0.0037,0.0033,0.0033,0.9415,0.0027
2775,0.0025,0.002,0.0022,0.2464,0.0018
2776,0.0022,0.0018,0.0018,0.2355,0.0016
2777,0.0037,0.0032,0.0033,0.6588,0.0029
2778,0.003,0.0027,0.0027,0.9479,0.0026
2779,0.0023,0.0017,0.0019,0.1599,0.0016
2780,0.0032,0.0027,0.0028,0.9082,0.0024
2781,0.0052,0.0046,0.0038,1.7308,0.0029
2782,0.003,0.0022,0.0025,0.2331,0.0023
2783,0.0025,0.002,0.0023,0.3459,0.0019
2784,0.0023,0.0018,0.002,0.3265,0.0018
2785,0.003,0.0025,0.0026,0.5089,0.0021
2786,0.0032,0.0025,0.0027,0.6993,0.0022
2787,0.0037,0.0033,0.004,0.6071,0.0026
2788,0.0037,0.0032,0.0032,0.6633,0.0024
